job_id,job_date,customer,press,shift,stock_type,ink_config,cards_per_sheet,qty_ordered,passes,sheets_run,cards_delivered,waste_pct,color_delta_e,register_error,dot_gain_pct,cut_deviation_mm,foil_adhesion,quality_pass,jam_count,total_press_time,paper_cost,press_cost,ink_cost,plate_cost,finishing_cost,total_cost,revenue,gross_profit,gross_margin_pct,delivery_quoted,delivery_actual,delivery_status,jam_time_hrs,qc_downtime_hrs,mr_hrs,labor_rate,bill_rate
JOB-00025,2022-01-06,CUST-A,4360,Black Night,White,4/4 CMYK,121,7817,2,8209,993289,4.78,0.1,0.074,24.3,0.028,,1,0,2.95,451.5,424.8,10.97,260,0.0,1147.27,2108.88,961.61,45.6,9,6,ON-TIME,0.0,0.0,1.0421522167001174,144.0,254.0
JOB-00026,2022-01-06,CUST-A,4180,Red Day,Foil,4/4 CMYK,100,17486,2,19171,1917100,8.79,0.1,0.092,28.0,0.003,99.36613105204712,1,0,8.28,6134.72,1159.2,22.87,260,0.0,7576.79,11562.81,3986.02,34.5,3,7,LATE,0.0,0.0,1.759539675867113,140.0,250.0
JOB-00027,2022-01-07,CUST-A,4140,Black Day,Foil,4/4 CMYK,100,11418,2,12522,1252200,8.82,0.1,0.016,25.6,0.132,86.85909008151891,1,0,5.37,4007.04,751.8,14.87,260,0.0,5033.71,7670.36,2636.65,34.4,7,6,ON-TIME,0.0,0.0,1.1313837717536501,140.0,250.0
JOB-00028,2022-01-07,CUST-B,4180,Black Day,White,4/4 CMYK,100,12199,2,12768,1276800,4.46,0.1,0.019,30.9,0.024,,0,0,4.51,702.24,631.4,13.34,260,0.0,1606.98,3272.64,1665.66,50.9,6,6,ON-TIME,0.0,0.25,1.139646912326924,140.0,250.0
JOB-00029,2022-01-07,CUST-A,4180,Red Day,White,4/4 CMYK,100,10650,2,11119,1111900,4.22,0.28,0.173,17.6,0.237,,1,0,4.25,611.54,595.0,13.99,260,0.0,1480.53,2670.05,1189.52,44.6,7,6,ON-TIME,0.0,0.0,1.234842642818446,140.0,250.0
JOB-00030,2022-01-07,CUST-A,4140,Black Day,White,4/4 + Foil Stamp,121,11080,2,11826,1430946,6.31,0.12,0.013,17.5,0.081,,1,0,3.96,650.43,554.4,25.78,520,212.87,1963.48,3328.1,1364.62,41.0,10,5,ON-TIME,0.0,0.0,1.2088613388801264,140.0,250.0
JOB-00031,2022-01-07,CUST-A,4080,Red Day,Foil,4/4 CMYK,100,15594,2,17375,1737500,10.25,0.36,0.142,32.0,0.074,78.8023439349727,0,0,7.97,5560.0,1115.8,22.59,260,0.0,6958.39,10175.02,3216.63,31.6,3,7,LATE,0.0,0.25,1.0594016452063229,140.0,250.0
JOB-00032,2022-01-08,CUST-A,4210,Red Day,Foil,4/4 + Foil Stamp,100,8996,1,9959,995900,9.67,0.1,0.308,25.7,0.011,84.37015307475008,1,0,3.26,3186.88,489.0,19.49,520,179.26,4394.63,6658.74,2264.11,34.0,8,6,ON-TIME,0.0,0.0,1.5630248550900268,150.0,285.0
JOB-00033,2022-01-08,CUST-A,4360,Black Night,Foil,4/4 CMYK,100,5000,2,5647,564700,11.46,0.11,0.014,25.0,0.917,97.57784269825032,0,0,3.85,1807.04,554.4,6.08,260,0.0,2627.52,3994.77,1367.25,34.2,8,6,ON-TIME,0.0,0.25,1.6676350867633878,144.0,254.0
JOB-00034,2022-01-08,CUST-A,4140,Black Night,White,4/4 CMYK,100,13472,2,14129,1412900,4.65,0.1,0.037,10.0,0.539,,0,0,4.94,777.1,711.36,19.2,260,0.0,1767.66,3214.29,1446.63,45.0,7,6,ON-TIME,0.0,0.25,1.2119963800034907,144.0,254.0
JOB-00035,2022-01-08,CUST-A,4520,Black Night,White,4/4 + Foil Stamp,121,11986,2,12853,1555213,6.75,0.1,0.017,21.8,0.023,,1,0,3.86,706.92,555.84,24.62,520,231.35,2038.73,3409.85,1371.12,40.2,8,4,ON-TIME,0.0,0.0,0.7987139596430277,144.0,254.0
JOB-00036,2022-01-09,CUST-A,4180,Red Night,Foil,4/4 + Spot Gloss,100,10431,2,11753,1175300,11.25,0.21,0.03,28.4,0.073,77.33882348410906,1,1,5.81,3760.96,836.64,25.92,380,105.78,5109.3,7548.88,2439.58,32.3,9,5,ON-TIME,0.3333333333333333,0.0,1.4949427583312576,144.0,254.0
JOB-00037,2022-01-09,SPOT-JOBS,4180,Red Day,White,4/4 CMYK,121,11883,2,12392,1499432,4.11,0.1,0.008,19.9,0.077,,1,0,3.51,681.56,491.4,12.67,260,0.0,1445.63,3317.64,1872.01,56.4,8,6,ON-TIME,0.0,0.0,0.5377137467628733,140.0,250.0
JOB-00038,2022-01-09,CUST-B,4360,Black Day,Foil,4/4 + Spot UV,121,8517,2,9406,1138126,9.45,0.33,0.101,22.3,0.051,97.4365392634538,1,0,4.34,3009.92,607.6,18.76,380,84.65,4100.93,6887.27,2786.34,40.5,3,6,LATE,0.0,0.0,1.1919470952749545,140.0,250.0
JOB-00039,2022-01-09,SPOT-JOBS,4180,Red Night,White,4/4 CMYK,121,10082,2,10631,1286351,5.16,0.34,0.103,35.4,0.489,,0,0,3.74,584.71,538.56,14.92,260,0.0,1398.19,3129.9,1731.71,55.3,6,6,ON-TIME,0.0,0.25,1.0213337217538425,144.0,254.0
JOB-00040,2022-01-09,CUST-B,4140,Red Day,Foil,4/4 CMYK,100,9473,2,10410,1041000,9.0,0.12,0.113,27.8,0.192,76.0925426413725,1,0,4.33,3331.2,606.2,11.34,260,0.0,4208.74,7189.92,2981.18,41.5,11,7,ON-TIME,0.0,0.0,1.1376988938203927,140.0,250.0
JOB-00041,2022-01-09,CUST-A,4210,Red Night,White,4/4 + Foil Stamp,121,7634,1,8211,993531,7.03,0.1,0.171,27.0,0.495,,1,0,2.04,451.6,314.16,18.56,520,147.8,1452.12,2172.96,720.84,33.2,5,6,LATE,0.0,0.0,1.0533284534639937,154.0,289.0
JOB-00042,2022-01-09,CUST-A,4210,Red Day,White,4/4 + Foil Stamp,121,14756,1,15642,1892682,5.66,0.33,0.009,20.5,0.286,,1,0,2.68,860.31,402.0,27.52,520,281.56,2091.39,3128.6,1037.21,33.2,8,7,ON-TIME,0.0,0.0,0.8166008388835376,150.0,285.0
JOB-00043,2022-01-10,CUST-A,4140,Black Night,Foil,4/4 CMYK,121,5000,2,5617,679657,10.98,0.29,0.044,23.7,0.242,100.0,1,0,3.12,1797.44,449.28,6.32,260,0.0,2513.04,3761.14,1248.1,33.2,6,6,ON-TIME,0.0,0.0,1.009695205402258,144.0,254.0
JOB-00044,2022-01-10,CUST-A,4520,Red Night,White,4/4 CMYK,100,19443,2,20236,2023600,3.92,0.14,0.029,28.0,0.198,,1,0,5.89,1112.98,848.16,26.95,260,0.0,2248.09,4304.18,2056.09,47.8,9,6,ON-TIME,0.0,0.0,1.1506260980554492,144.0,254.0
JOB-00045,2022-01-10,CUST-A,4140,Black Day,Foil,4/4 + Spot UV,121,13509,2,14898,1802658,9.32,0.26,0.026,22.6,0.302,75.39451605208647,1,0,6.77,4767.36,947.8,24.46,380,134.08,6253.7,9359.06,3105.36,33.2,7,6,ON-TIME,0.0,0.0,1.3496041749677379,140.0,250.0
JOB-00046,2022-01-10,CUST-A,4210,Red Night,White,4/4 CMYK,121,5000,1,5288,639848,5.45,0.1,0.01,24.0,0.183,,1,0,1.19,290.84,183.26,6.74,260,0.0,740.84,1142.28,401.44,35.1,9,5,ON-TIME,0.0,0.0,0.5194851754034121,154.0,289.0
JOB-00047,2022-01-10,CUST-A,4180,Black Day,White,4/4 CMYK,121,9103,2,9521,1152041,4.39,0.1,0.043,17.4,0.033,,1,0,3.57,523.66,499.8,9.97,260,0.0,1293.43,2393.3,1099.87,46.0,8,5,ON-TIME,0.0,0.0,1.2675910563269488,140.0,250.0
JOB-00048,2022-01-11,CUST-A,4180,Black Day,White,4/4 + Spot Gloss,100,9325,2,9908,990800,5.88,0.1,0.117,20.6,0.163,,1,0,3.38,544.94,473.2,19.22,380,89.17,1506.53,2622.1,1115.57,42.5,7,6,ON-TIME,0.0,0.0,1.0202577555968768,140.0,250.0
JOB-00049,2022-01-11,CUST-A,4180,Red Day,Foil,4/4 + Spot UV,100,11567,2,12817,1281700,9.75,0.1,0.321,26.3,0.113,77.35151350207524,1,0,5.71,4101.44,799.4,26.96,380,115.35,5423.15,8216.84,2793.69,34.0,3,7,LATE,0.0,0.0,1.496313977693993,140.0,250.0
JOB-00050,2022-01-11,CUST-A,4360,Black Night,Foil,4/4 CMYK,100,6042,2,6788,678800,10.99,0.11,0.015,20.3,0.664,83.6334529825747,0,0,3.74,2172.16,538.56,6.07,260,0.0,2976.79,4514.29,1537.5,34.1,6,5,ON-TIME,0.0,0.25,1.352631495970827,144.0,254.0
JOB-00051,2022-01-11,CUST-B,4520,Black Night,Foil,4/4 + Foil Stamp,121,10128,2,11386,1377706,11.05,0.1,0.191,25.9,0.118,81.06191105677576,1,0,4.7,3643.52,676.8,16.93,520,204.95,5062.2,8366.56,3304.36,39.5,5,6,LATE,0.0,0.0,1.165784973093278,144.0,254.0
JOB-00052,2022-01-11,CUST-A,4210,Black Night,Foil,4/4 + Spot Gloss,100,9515,1,10581,1058100,10.07,0.38,0.184,25.4,0.006,92.18883668736143,1,0,3.19,3385.92,491.26,23.76,380,95.23,4376.17,6483.39,2107.22,32.5,5,5,ON-TIME,0.0,0.0,1.084849452435392,154.0,289.0
JOB-00053,2022-01-11,CUST-A,4360,Black Night,Foil,4/4 CMYK,121,7049,2,7840,948640,10.09,0.18,0.054,26.8,0.051,83.88112902909644,1,0,3.95,2508.8,568.8,10.48,260,0.0,3348.08,5084.74,1736.66,34.2,9,6,ON-TIME,0.0,0.0,1.2248107890746496,144.0,254.0
JOB-00054,2022-01-11,CUST-A,4180,Black Day,Foil,4/4 + Foil Stamp,121,6492,2,7300,883300,11.07,0.1,0.012,25.6,0.389,85.03057844193523,1,0,3.89,2336.0,544.6,16.01,520,131.4,3548.01,5292.77,1744.76,33.0,12,7,ON-TIME,0.0,0.0,1.3226986678842059,140.0,250.0
JOB-00055,2022-01-11,CUST-A,4520,Black Night,Foil,4/4 + Spot UV,121,13675,2,15263,1846823,10.4,0.1,0.508,27.4,0.543,92.08734774857312,0,0,6.35,4884.16,914.4,27.49,380,137.37,6343.42,9524.4,3180.98,33.4,3,6,LATE,0.0,0.25,1.4003149612129764,144.0,254.0
JOB-00056,2022-01-12,CUST-A,4210,Red Day,Foil,4/4 CMYK,121,5000,1,5518,667678,9.39,0.15,0.098,18.5,0.18,100.0,1,0,2.04,1765.76,306.0,7.07,260,0.0,2338.83,3593.69,1254.86,34.9,4,5,LATE,0.0,0.0,1.029382471801894,150.0,285.0
JOB-00057,2022-01-12,CUST-A,4140,Red Day,White,4/4 CMYK,100,11911,2,12406,1240600,3.99,0.1,0.252,17.0,0.009,,1,0,4.25,682.33,595.0,17.85,260,0.0,1555.18,2860.4,1305.22,45.6,8,7,ON-TIME,0.0,0.0,1.0930220416235128,140.0,250.0
JOB-00058,2022-01-12,CUST-A,4210,Red Day,Foil,4/4 + Spot UV,121,13190,1,14450,1748450,8.72,0.23,0.061,17.7,0.003,91.64810140304687,1,0,3.62,4624.0,543.0,25.95,380,130.05,5703.0,8513.44,2810.44,33.0,7,5,ON-TIME,0.0,0.0,0.9255835263649322,150.0,285.0
JOB-00059,2022-01-12,CUST-A,4180,Red Night,White,4/4 + Spot Gloss,121,9125,2,9816,1187736,7.04,0.24,0.038,30.2,0.117,,0,0,3.69,539.88,531.36,21.27,380,88.34,1560.85,2564.45,1003.6,39.1,8,6,ON-TIME,0.0,0.25,0.8857132094997584,144.0,254.0
JOB-00060,2022-01-12,SPOT-JOBS,4210,Red Night,White,4/4 CMYK,121,10209,1,10719,1296999,4.76,0.1,0.019,19.0,1.273,,0,0,2.59,589.54,398.86,9.91,260,0.0,1258.31,2405.4,1147.09,47.7,7,4,ON-TIME,0.0,0.25,0.9239738083388225,154.0,289.0
JOB-00061,2022-01-12,SPOT-JOBS,4210,Red Night,White,4/4 + Spot Gloss,121,14653,1,15512,1876952,5.54,0.1,0.272,19.7,0.323,,1,0,2.73,853.16,420.42,29.4,380,139.61,1822.59,3557.75,1735.16,48.8,10,7,ON-TIME,0.0,0.0,1.032029711889647,154.0,289.0
JOB-00062,2022-01-12,CUST-A,4210,Black Night,Foil,4/4 + Foil Stamp,121,7180,1,8074,976954,11.07,0.31,0.031,19.7,0.429,95.05448746007102,1,0,2.21,2583.68,340.34,13.78,520,145.33,3603.13,5335.46,1732.33,32.5,9,8,ON-TIME,0.0,0.0,0.8965000904815382,154.0,289.0
JOB-00063,2022-01-13,CUST-A,4210,Red Night,White,4/4 + Foil Stamp,121,7593,1,8167,988207,7.03,0.1,0.002,16.5,0.155,,1,0,1.94,449.18,298.76,15.33,520,147.01,1430.28,2089.89,659.61,31.6,9,6,ON-TIME,0.0,0.0,0.8504267157753025,154.0,289.0
JOB-00064,2022-01-13,CUST-B,4210,Red Night,White,4/4 + Spot UV,121,8018,1,8573,1037333,6.47,0.1,0.048,19.3,0.311,,1,1,2.05,471.52,315.7,12.95,380,77.16,1257.33,1998.92,741.59,37.1,10,5,ON-TIME,0.3333333333333333,0.0,0.5745480953683457,154.0,289.0
JOB-00065,2022-01-13,CUST-A,4140,Black Day,White,4/4 CMYK,100,14661,2,15242,1524200,3.81,0.1,0.03,26.3,0.058,,1,0,5.13,838.31,718.2,16.55,260,0.0,1833.06,3444.16,1611.1,46.8,5,6,LATE,0.0,0.0,1.3609431590330332,140.0,250.0
JOB-00066,2022-01-13,CUST-A,4210,Red Day,White,4/4 CMYK,100,15169,1,15728,1572800,3.55,0.29,0.017,18.2,0.004,,1,0,3.03,865.04,454.5,14.51,260,0.0,1594.05,2567.06,973.01,37.9,9,6,ON-TIME,0.0,0.0,0.9833640339135734,150.0,285.0
JOB-00067,2022-01-13,CUST-A,4140,Black Night,White,4/4 + Spot Gloss,100,5000,2,5396,539600,7.34,0.1,0.072,18.3,0.432,,1,0,2.03,296.78,292.32,9.79,380,48.56,1027.45,1744.04,716.59,41.1,9,7,ON-TIME,0.0,0.0,0.8832390534559804,144.0,254.0
JOB-00068,2022-01-14,SPOT-JOBS,4210,Red Day,Foil,4/4 CMYK,121,14024,1,15255,1845855,8.07,0.41,0.042,18.9,0.034,92.65625831098238,1,0,3.79,4881.6,568.5,17.2,260,0.0,5727.3,10489.56,4762.26,45.4,7,5,ON-TIME,0.0,0.0,0.9294202124483371,150.0,285.0
JOB-00069,2022-01-14,CUST-A,4080,Black Night,Foil,4/4 + Spot Gloss,100,13275,2,15165,1516500,12.46,0.1,0.071,33.7,0.27,67.90689084970154,0,0,7.7,4852.8,1108.8,25.83,380,136.48,6503.91,9328.17,2824.26,30.3,7,5,ON-TIME,0.0,0.25,1.552315738702698,144.0,254.0
JOB-00070,2022-01-14,CUST-A,4360,Black Night,Foil,4/4 CMYK,100,16214,2,17875,1787500,9.29,0.1,0.003,17.3,0.178,86.99621468504272,1,0,7.2,5720.0,1036.8,25.22,260,0.0,7042.02,10682.57,3640.55,34.1,7,6,ON-TIME,0.0,0.0,1.2939808366770829,144.0,254.0
JOB-00071,2022-01-14,CUST-B,4210,Red Day,Foil,4/4 CMYK,100,11540,1,12575,1257500,8.23,0.21,0.082,24.0,0.024,82.75949952654327,1,0,3.56,4024.0,534.0,11.65,260,0.0,4829.65,8097.59,3267.94,40.4,6,6,ON-TIME,0.0,0.0,1.1265583357686426,150.0,285.0
JOB-00072,2022-01-14,CUST-A,4140,Red Day,Foil,4/4 + Spot Gloss,121,9822,2,10865,1314665,9.6,0.1,0.013,17.1,0.033,81.94447270752381,1,0,4.39,3476.8,614.6,23.33,380,97.78,4592.51,6964.61,2372.1,34.1,5,5,ON-TIME,0.0,0.0,1.0034486467272286,140.0,250.0
JOB-00073,2022-01-14,CUST-A,4210,Black Night,White,4/4 + Spot Gloss,121,14580,1,15435,1867635,5.54,0.1,0.016,22.2,0.063,,1,0,2.7,848.92,415.8,26.64,380,138.92,1810.28,2805.51,995.23,35.5,12,6,ON-TIME,0.0,0.0,0.8923059352146834,154.0,289.0
JOB-00074,2022-01-14,SPOT-JOBS,4360,Black Day,Foil,4/4 + Foil Stamp,100,12795,2,14195,1419500,9.86,0.1,0.121,20.1,0.204,76.16479702866584,1,1,6.11,4542.4,855.4,22.52,520,255.51,6195.83,11202.81,5006.98,44.7,10,6,ON-TIME,0.3333333333333333,0.0,1.2128535518464902,140.0,250.0
JOB-00075,2022-01-14,CUST-A,4140,Black Day,White,4/4 + Spot Gloss,121,18979,2,20003,2420363,5.12,0.1,0.023,20.4,0.006,,1,0,5.34,1100.16,747.6,33.05,380,180.03,2440.84,4520.4,2079.56,46.0,8,6,ON-TIME,0.0,0.0,1.0597698065555863,140.0,250.0
JOB-00076,2022-01-14,CUST-A,4210,Black Night,White,4/4 CMYK,121,13834,1,14414,1744094,4.02,0.1,0.012,23.5,0.083,,1,0,2.47,792.77,380.38,19.96,260,0.0,1453.11,2334.91,881.8,37.8,5,6,LATE,0.0,0.0,0.7363981370707715,154.0,289.0
JOB-00077,2022-01-14,CUST-A,4180,Red Day,Foil,4/4 CMYK,121,10614,2,11685,1413885,9.17,0.26,0.09,26.4,0.171,89.354300334407,1,0,5.38,3739.2,753.2,15.68,260,0.0,4768.08,7209.12,2441.04,33.9,9,6,ON-TIME,0.0,0.0,1.1972564666577719,140.0,250.0
JOB-00078,2022-01-14,CUST-A,4210,Red Night,White,4/4 + Foil Stamp,121,5303,1,5741,694661,7.63,0.16,0.016,23.6,0.03,,1,0,1.46,315.76,224.84,8.16,520,103.34,1172.1,1733.05,560.95,32.4,7,5,ON-TIME,0.0,0.0,0.8166203710843573,154.0,289.0
JOB-00079,2022-01-15,CUST-A,4180,Red Day,Foil,4/4 CMYK,100,7676,2,8485,848500,9.53,0.6,0.033,21.0,0.02,100.0,1,0,3.96,2715.2,554.4,8.17,260,0.0,3537.77,5393.54,1855.77,34.4,7,4,ON-TIME,0.0,0.0,1.103716642862316,140.0,250.0
JOB-00080,2022-01-15,CUST-A,4140,Black Night,Foil,4/4 + Spot Gloss,121,5000,2,5662,685102,11.69,0.28,0.112,27.8,0.085,88.18149150787335,1,0,3.52,1811.84,506.88,11.4,380,50.96,2761.08,4285.47,1524.39,35.6,12,5,ON-TIME,0.0,0.0,1.8170759801851126,144.0,254.0
JOB-00081,2022-01-15,CUST-A,4180,Black Day,Foil,4/4 + Spot Gloss,121,9139,2,10183,1232143,10.25,0.23,0.14,24.2,0.053,71.01333751714357,1,1,4.86,3258.56,680.4,17.23,380,91.65,4427.84,6529.91,2102.07,32.2,11,8,ON-TIME,0.3333333333333333,0.0,0.986304159542802,140.0,250.0
JOB-00082,2022-01-15,CUST-B,4180,Red Night,White,4/4 CMYK,100,13704,2,14339,1433900,4.43,0.18,0.101,23.9,0.188,,1,0,5.27,788.64,758.88,20.0,260,0.0,1827.52,3609.17,1781.65,49.4,3,6,LATE,0.0,0.0,1.0999708507391526,144.0,254.0
JOB-00083,2022-01-15,CUST-A,4210,Red Day,Foil,4/4 + Foil Stamp,121,9985,1,11040,1335840,9.56,0.37,0.061,20.8,0.482,79.25938631164443,1,0,3.26,3532.8,489.0,23.32,520,198.72,4763.84,7043.89,2280.05,32.4,8,5,ON-TIME,0.0,0.0,1.0605466063222526,150.0,285.0
